country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1960,8425333,Asia,28.801,779.4453145
Afghanistan,1965,9240934,Asia,30.332,820.8530296
Afghanistan,1970,10267083,Asia,31.997,853.10071
Afghanistan,1975,11537966,Asia,34.02,836.1971382
Afghanistan,1980,13079460,Asia,36.088,739.9811058
Afghanistan,1985,14880372,Asia,38.438,786.11336
Afghanistan,1990,12881816,Asia,39.854,978.0114388
Afghanistan,1995,13867957,Asia,40.822,852.3959448
Afghanistan,2000,16317921,Asia,41.674,649.3413952
Afghanistan,2005,22227415,Asia,41.763,635.341351
Afghanistan,2010,25268405,Asia,42.129,726.7340548
Afghanistan,2015,31889923,Asia,43.828,974.5803384
Albania,1960,1282697,Europe,55.23,1601.056136
Albania,1965,1476505,Europe,59.28,1942.284244
Albania,1970,1728137,Europe,64.82,2312.888958
Albania,1975,1984060,Europe,66.22,2760.196931
Albania,1980,2263554,Europe,67.69,3313.422188
Albania,1985,2509048,Europe,68.93,3533.00391
Albania,1990,2780097,Europe,70.42,3630.880722
Albania,1995,3075321,Europe,72,3738.932735
Albania,2000,3326498,Europe,71.581,2497.437901
Albania,2005,3428038,Europe,72.95,3193.054604
Albania,2010,3508512,Europe,75.651,4604.211737
Albania,2015,3600523,Europe,76.423,5937.029526
Algeria,1960,9279525,Africa,43.077,2449.008185
Algeria,1965,10270856,Africa,45.685,3013.976023
Algeria,1970,11000948,Africa,48.303,2550.81688
Algeria,1975,12760499,Africa,51.407,3246.991771
Algeria,1980,14760787,Africa,54.518,4182.663766
Algeria,1985,17152804,Africa,58.014,4910.416756
Algeria,1990,20033753,Africa,61.368,5745.160213
Algeria,1995,23254956,Africa,65.799,5681.358539
Algeria,2000,26298373,Africa,67.744,5023.216647
Algeria,2005,29072015,Africa,69.152,4797.295051
Algeria,2010,31287142,Africa,70.994,5288.040382
Algeria,2015,33333216,Africa,72.301,6223.367465
Angola,1960,4232095,Africa,30.015,3520.610273
Angola,1965,4561361,Africa,31.999,3827.940465
Angola,1970,4826015,Africa,34,4269.276742
Angola,1975,5247469,Africa,35.985,5522.776375
Angola,1980,5894858,Africa,37.928,5473.288005
Angola,1985,6162675,Africa,39.483,3008.647355
Angola,1990,7016384,Africa,39.942,2756.953672
Angola,1995,7874230,Africa,39.906,2430.208311
Angola,2000,8735988,Africa,40.647,2627.845685
Angola,2005,9875024,Africa,40.963,2277.140884
Angola,2010,10866106,Africa,41.003,2773.287312
Angola,2015,12420476,Africa,42.731,4797.231267
Argentina,1960,17876956,Americas,62.485,5911.315053
Argentina,1965,19610538,Americas,64.399,6856.856212
Argentina,1970,21283783,Americas,65.142,7133.166023
