,State,Year,Age,Gender,noSuicides
0,Total nacional,2010,Total,Total,5012
1,Total nacional,2010,Total,Male,4091
2,Total nacional,2010,Total,Female,921
3,Total nacional,2010,10 a 14 años,Total,187
4,Total nacional,2010,10 a 14 años,Male,111
5,Total nacional,2010,10 a 14 años,Female,76
6,Total nacional,2010,15 a 19 años,Total,685
7,Total nacional,2010,15 a 19 años,Male,475
8,Total nacional,2010,15 a 19 años,Female,210
9,Total nacional,2010,20 a 24 años,Total,761
10,Total nacional,2010,20 a 24 años,Male,614
11,Total nacional,2010,20 a 24 años,Female,147
12,Total nacional,2010,25 a 29 años,Total,608
13,Total nacional,2010,25 a 29 años,Male,507
14,Total nacional,2010,25 a 29 años,Female,101
15,Total nacional,2010,30 a 34 años,Total,528
16,Total nacional,2010,30 a 34 años,Male,448
17,Total nacional,2010,30 a 34 años,Female,80
18,Total nacional,2010,35 a 39 años,Total,549
19,Total nacional,2010,35 a 39 años,Male,461
20,Total nacional,2010,35 a 39 años,Female,88
21,Total nacional,2010,40 a 44 años,Total,352
22,Total nacional,2010,40 a 44 años,Male,298
23,Total nacional,2010,40 a 44 años,Female,54
24,Total nacional,2010,45 a 49 años,Total,320
25,Total nacional,2010,45 a 49 años,Male,257
26,Total nacional,2010,45 a 49 años,Female,63
27,Total nacional,2010,50 a 54 años,Total,244
28,Total nacional,2010,50 a 54 años,Male,215
29,Total nacional,2010,50 a 54 años,Female,29
30,Total nacional,2010,55 a 59 años,Total,183
31,Total nacional,2010,55 a 59 años,Male,158
32,Total nacional,2010,55 a 59 años,Female,25
33,Total nacional,2010,60 años y más,Total,549
34,Total nacional,2010,60 años y más,Male,504
35,Total nacional,2010,60 años y más,Female,45
36,Total nacional,2010,No especificado,Total,46
37,Total nacional,2010,No especificado,Male,43
38,Total nacional,2010,No especificado,Female,3
39,Aguascalientes,2010,Total,Total,50
40,Aguascalientes,2010,Total,Male,41
41,Aguascalientes,2010,Total,Female,9
42,Aguascalientes,2010,10 a 14 años,Total,1
43,Aguascalientes,2010,10 a 14 años,Male,0
44,Aguascalientes,2010,10 a 14 años,Female,1
45,Aguascalientes,2010,15 a 19 años,Total,7
46,Aguascalientes,2010,15 a 19 años,Male,3
47,Aguascalientes,2010,15 a 19 años,Female,4
48,Aguascalientes,2010,20 a 24 años,Total,12
