,State,Year,Gender,noSuicides,Age Grp,Population (Gender),Population (AgeGrp),Suicide Rate (per 100K)
0,República Mexicana,2010,Male,111,10-14yrs,5666711.0,11170946.0,0.9936490606972767
1,República Mexicana,2010,Female,76,10-14yrs,5504235.0,11170946.0,0.680336293810748
2,República Mexicana,2010,Male,475,15-19yrs,5552644.0,11026036.0,4.307985208827542
3,República Mexicana,2010,Female,210,15-19yrs,5473392.0,11026036.0,1.9045829344290188
4,República Mexicana,2010,Male,614,20-24yrs,4991850.0,10168795.0,6.038080224844734
5,República Mexicana,2010,Female,147,20-24yrs,5176945.0,10168795.0,1.4455990114856283
6,República Mexicana,2010,Male,507,25-29yrs,4384627.0,9192193.0,5.5155499889960975
7,República Mexicana,2010,Female,101,25-29yrs,4807566.0,9192193.0,1.0987584790702285
8,República Mexicana,2010,Male,448,30-34yrs,4041377.0,8560868.0,5.23311421225044
9,República Mexicana,2010,Female,80,30-34yrs,4519491.0,8560868.0,0.9344846807590071
10,República Mexicana,2010,Male,461,35-39yrs,3861705.0,8076798.0,5.707707435545621
11,República Mexicana,2010,Female,88,35-39yrs,4215093.0,8076798.0,1.089540681839511
12,República Mexicana,2010,Male,298,40-44yrs,3440151.0,7135481.0,4.176312711084228
13,República Mexicana,2010,Female,54,40-44yrs,3695330.0,7135481.0,0.7567814979817058
14,República Mexicana,2010,Male,257,45-49yrs,2975012.0,6158755.0,4.172921312830272
15,República Mexicana,2010,Female,63,45-49yrs,3183743.0,6158755.0,1.022934018320261
16,República Mexicana,2010,Male,215,50-54yrs,2455657.0,5092304.0,4.222057441975185
17,República Mexicana,2010,Female,29,50-54yrs,2636647.0,5092304.0,0.5694868177547923
18,República Mexicana,2010,Male,158,55-59yrs,1905135.0,3971266.0,3.978580130366488
19,República Mexicana,2010,Female,25,55-59yrs,2066131.0,3971266.0,0.629522172526343
20,República Mexicana,2010,Male,504,60+yrs,4573296.0,9917313.0,5.0820217129377685
21,República Mexicana,2010,Female,45,60+yrs,5344017.0,9917313.0,0.45375193865515795
22,República Mexicana,2010,Male,43,Undefined,,,
23,República Mexicana,2010,Female,3,Undefined,,,
24,Aguascalientes,2010,Male,0,10-14yrs,63218.0,124708.0,0.0
25,Aguascalientes,2010,Female,1,10-14yrs,61490.0,124708.0,0.8018731757385251
26,Aguascalientes,2010,Male,3,15-19yrs,60365.0,120215.0,2.4955288441542236
27,Aguascalientes,2010,Female,4,15-19yrs,59850.0,120215.0,3.3273717922056316
28,Aguascalientes,2010,Male,12,20-24yrs,53008.0,108493.0,11.060621422580258
29,Aguascalientes,2010,Female,0,20-24yrs,55485.0,108493.0,0.0
30,Aguascalientes,2010,Male,6,25-29yrs,45723.0,96523.0,6.216135014452514
31,Aguascalientes,2010,Female,0,25-29yrs,50800.0,96523.0,0.0
32,Aguascalientes,2010,Male,2,30-34yrs,41553.0,88893.0,2.249895942312668
33,Aguascalientes,2010,Female,1,30-34yrs,47340.0,88893.0,1.124947971156334
34,Aguascalientes,2010,Male,9,35-39yrs,39243.0,83125.0,10.827067669172932
35,Aguascalientes,2010,Female,0,35-39yrs,43882.0,83125.0,0.0
36,Aguascalientes,2010,Male,0,40-44yrs,34563.0,72672.0,0.0
37,Aguascalientes,2010,Female,0,40-44yrs,38109.0,72672.0,0.0
38,Aguascalientes,2010,Male,3,45-49yrs,29437.0,61692.0,4.862867146469558
39,Aguascalientes,2010,Female,2,45-49yrs,32255.0,61692.0,3.2419114309797057
40,Aguascalientes,2010,Male,0,50-54yrs,23803.0,49871.0,0.0
41,Aguascalientes,2010,Female,1,50-54yrs,26068.0,49871.0,2.0051733472358686
42,Aguascalientes,2010,Male,2,55-59yrs,18024.0,37921.0,5.274122517866091
43,Aguascalientes,2010,Female,0,55-59yrs,19897.0,37921.0,0.0
44,Aguascalientes,2010,Male,3,60+yrs,40279.0,88382.0,3.3943563168971056
45,Aguascalientes,2010,Female,0,60+yrs,48103.0,88382.0,0.0
46,Aguascalientes,2010,Male,1,Undefined,,,
47,Aguascalientes,2010,Female,0,Undefined,,,
48,Baja California,2010,Male,1,10-14yrs,157140.0,307246.0,0.3254720972771004
49,Baja California,2010,Female,3,10-14yrs,150106.0,307246.0,0.9764162918313013
50,Baja California,2010,Male,3,15-19yrs,157381.0,306864.0,0.9776317847645863
51,Baja California,2010,Female,1,15-19yrs,149483.0,306864.0,0.3258772615881954
52,Baja California,2010,Male,7,20-24yrs,147943.0,291805.0,2.398862253902435
53,Baja California,2010,Female,0,20-24yrs,143862.0,291805.0,0.0
54,Baja California,2010,Male,13,25-29yrs,137125.0,274288.0,4.73954383713469
55,Baja California,2010,Female,3,25-29yrs,137163.0,274288.0,1.093740885492621
56,Baja California,2010,Male,14,30-34yrs,131675.0,262992.0,5.323355843523758
57,Baja California,2010,Female,1,30-34yrs,131317.0,262992.0,0.3802397031088398
58,Baja California,2010,Male,19,35-39yrs,127399.0,249591.0,7.612453974702613
59,Baja California,2010,Female,0,35-39yrs,122192.0,249591.0,0.0
60,Baja California,2010,Male,7,40-44yrs,111127.0,215606.0,3.2466628943535896
61,Baja California,2010,Female,2,40-44yrs,104479.0,215606.0,0.9276179698153112
62,Baja California,2010,Male,2,45-49yrs,91194.0,177549.0,1.1264495998287796
63,Baja California,2010,Female,2,45-49yrs,86355.0,177549.0,1.1264495998287796
64,Baja California,2010,Male,6,50-54yrs,70169.0,138476.0,4.332880788006586
65,Baja California,2010,Female,2,50-54yrs,68307.0,138476.0,1.4442935960021952
66,Baja California,2010,Male,1,55-59yrs,50591.0,101822.0,0.9821060281668008
67,Baja California,2010,Female,2,55-59yrs,51231.0,101822.0,1.9642120563336016
68,Baja California,2010,Male,16,60+yrs,101931.0,216701.0,7.383445392499343
69,Baja California,2010,Female,0,60+yrs,114770.0,216701.0,0.0
70,Baja California,2010,Male,2,Undefined,,,
71,Baja California,2010,Female,0,Undefined,,,
72,Baja California Sur,2010,Male,0,10-14yrs,30480.0,59191.0,0.0
73,Baja California Sur,2010,Female,0,10-14yrs,28711.0,59191.0,0.0
74,Baja California Sur,2010,Male,4,15-19yrs,31099.0,59830.0,6.685609226140732
75,Baja California Sur,2010,Female,0,15-19yrs,28731.0,59830.0,0.0
76,Baja California Sur,2010,Male,5,20-24yrs,30349.0,58762.0,8.508900309723971
