,Country,Code,year,suicides_no,population,total suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Region,2020 Rank,2020 Score,Location
0,Albania,ALB,2010,96.0,2736025.0,3.51,"11,926,953,259",4359,Central and Eastern Europe,105.0,4.882699966000001,"[41.0, 20.0]"
2,Argentina,ARG,2015,3073.0,39699624.0,7.74,"594,749,285,413",14981,Latin America and Caribbean,55.0,5.974699974,"[-34.0, -64.0]"
3,Armenia,ARM,2016,67.0,2400033.0,2.79,"10,546,135,160",3788,Commonwealth of Independent States,116.0,4.676799774,"[40.0, 45.0]"
5,Australia,AUS,2015,3027.0,22240785.0,13.61,"1,349,034,029,453",60656,North America and ANZ,12.0,7.222799778,"[-27.0, 133.0]"
6,Austria,AUT,2016,1201.0,7484629.0,16.05,"390,799,991,147",46976,Western Europe,9.0,7.294199944,"[47.33333333, 13.33333333]"
7,Azerbaijan,AZE,2007,55.0,7921100.0,0.69,"33,050,343,783",4172,Commonwealth of Independent States,89.0,5.164800167,"[40.5, 47.5]"
9,Bahrain,BHR,2014,9.0,1213966.0,0.74,"33,387,712,766",27503,Middle East and North Africa,40.0,6.227300167,"[26.0, 50.55]"
11,Belarus,BLR,2014,1741.0,8906977.0,19.55,"78,813,839,984",8849,Commonwealth of Independent States,75.0,5.539899826,"[53.0, 28.0]"
12,Belgium,BEL,2015,1867.0,10624356.0,17.57,"455,039,563,133",42830,Western Europe,20.0,6.863500117999999,"[50.83333333, 4.0]"
14,Bosnia and Herzegovina,BIH,2014,313.0,3654169.0,8.57,"18,558,343,508",5079,Central and Eastern Europe,69.0,5.674099922000001,"[44.0, 18.0]"
15,Brazil,BRA,2015,11163.0,191087085.0,5.84,"1,802,214,373,741",9431,Latin America and Caribbean,32.0,6.375599861,"[-10.0, -55.0]"
16,Bulgaria,BGR,2014,724.0,6883874.0,10.52,"56,731,990,232",8241,Central and Eastern Europe,96.0,5.101500034,"[43.0, 25.0]"
18,Canada,CAN,2013,4054.0,33314836.0,12.17,"1,842,628,005,830",55310,North America and ANZ,11.0,7.23210001,"[60.0, -95.0]"
